color,count
4f3f30,20
57412a,4
553f28,1
5b452e,2
614b36,12
59432e,8
4b3623,10
4e3928,25
5a4736,24
604d3e,26
5b483a,59
5a483c,44
5e4c40,48
5a483e,76
4a3931,51
3a2c29,54
2b201c,105
190e0a,200
0b0301,179
080300,561
040605,274
0a0a0a,2109
0d0b0c,2342
0f0d0e,1903
201e1f,148
161415,631
110f10,1391
1e1c1d,160
2a2829,54
232122,89
1b191a,274
0c0401,151
1d1512,153
271f1c,70
180d09,210
160b07,156
150a06,150
1a0f0b,222
241915,173
281d19,111
2a1f1b,99
312622,78
2e231f,87
231814,211
251a16,171
261b17,136
1b100a,123
221711,107
271c16,87
241913,98
2d221c,64
1f1810,17
1d160e,17
281f18,31
2c231c,19
2b221b,28
2a2118,16
2d231a,59
2e241a,13
2e2118,46
261910,53
271a11,42
302418,16
362a1e,17
25170e,239
2b1d14,188
281a11,236
291b12,231
26180f,232
2e2017,155
23150c,214
2c1b11,186
2d1c12,155
26150b,104
25140a,90
332218,115
27160c,135
2a190f,161
29180e,155
221107,47
28170d,145
301f15,178
2b1a10,150
21130a,142
22140b,205
271910,267
1f1108,123
22160a,23
291d11,20
2a1c11,78
25170c,54
33251a,42
332117,230
3b291f,113
29170d,144
2e1c12,242
432f26,63
28140b,44
281a0f,59
2b1d12,82
2e2015,63
2d1f14,79
2f2116,58
23150a,38
26180d,65
322419,47
34261b,44
331f16,89
2f1b12,91
2c180f,78
2d1910,73
2f1d13,241
2f1e14,171
37261c,74
27190e,53
271b0f,16
2e2216,26
2b1f13,22
25190d,15
382717,8
372616,10
342214,57
2f1d0f,32
2b190b,38
281809,10
29190c,31
2b1b0e,42
241407,15
231508,8
291b10,59
281c10,26
25180f,65
342319,139
322117,161
312016,156
2e1d13,161
312318,45
35271c,33
201207,13
200f05,32
3a291f,56
311d12,143
2d190e,124
2f1b10,158
372318,125
3e2a1f,92
3c281d,112
2e1a0f,140
281409,45
321e13,150
3f2b20,67
3a261b,120
362217,171
2c1a10,226
322016,269
3e2c22,77
342218,229
38261c,151
37251b,188
3c2a20,113
311f15,255
28160c,135
2b190f,219
3a281e,104
35241a,102
36251b,104
503f35,26
534238,43
402f25,30
412f23,42
3f2d21,43
3e2c20,55
423024,32
433125,43
463428,36
443226,45
39271b,68
332115,120
554337,36
483628,32
4b392b,36
534133,52
5b493b,48
5d4b3d,40
594739,42
544234,55
584638,57
554335,53
4f413e,46
514340,33
5d4e47,36
74615a,103
715f55,60
78645b,106
847065,26
7d675a,58
765e52,59
826b5d,33
877062,21
8c786d,21
887469,22
8e7b6c,18
877463,7
7b6857,10
75634f,5
776551,5
746150,7
6f5c4b,6
695647,29
665345,42
695648,49
6f5b50,66
746055,54
7a6353,34
7b6454,28
836c5e,25
856f61,24
867062,28
847163,38
826e63,24
7a685c,20
7f6e5c,1
7c6b59,5
7d6c5a,7
816e5d,5
8d7a69,6
917e6d,3
857261,10
8d7867,16
937e6d,10
968170,3
947d6d,11
917a6a,8
907969,10
6f5d51,29
6c5a4e,28
6b594d,32
6d5b4f,39
725f51,43
705d4f,46
877164,46
806a5c,28
776050,35
826857,29
806959,23
7d6656,21
786557,41
7b675c,47
76645a,54
6f5d53,71
79675b,18
776456,51
705949,38
735c4c,31
866c5b,24
887161,16
917a6c,13
8c7668,20
8c796b,23
8b796d,16
86746a,31
79655c,98
705e54,57
736059,108
7a6760,57
837069,58
85746d,26
7d6c65,32
918079,7
8f8079,8
857671,10
8c7d78,7
92837e,4
91827d,2
938582,2
8a7c79,4
93817f,8
8f7d7b,8
766462,29
928380,3
998b8a,1
a59a98,1
c5bbb9,1
0d0503,239
726761,5
716660,7
6d625c,4
3e332d,27
1d120c,118
3b302a,38
4f4440,20
6b5d5a,10
645653,15
6f605d,20
796a67,8
655653,22
6a5b58,20
675551,43
705e5a,37
614f4b,54
62504e,60
594745,51
503e3c,39
5d4b49,57
614f4d,58
5a4846,67
584644,43
665452,54
5a4740,178
8f7c75,17
7f6c65,50
56433c,150
6e5b54,118
6f5c55,131
5f4c45,171
5d4a43,158
58453e,160
604d46,155
5b4841,180
55423b,133
59463f,181
54413a,134
614e47,153
4e3f3a,43
50413c,47
514039,74
5e4d46,72
67564f,68
6a5750,130
5e4b44,179
5c483f,183
705c53,164
5b473e,165
725e55,130
6d5950,160
766259,122
7c685f,95
58443b,155
4f3b32,100
59453c,133
6d5b51,85
78665c,49
746258,57
64534b,53
817068,24
675950,16
877970,12
887676,9
998787,5
7d6b69,29
685654,52
b8a6a4,3
907e7c,8
786664,35
998785,8
786662,27
847570,3
7f706b,4
7e6f6a,7
5e483a,40
6e5749,48
7c6555,25
725847,30
775d4c,42
664b3a,34
482d1c,27
755b4a,31
735948,35
553e2e,23
655244,62
544236,37
625147,47
82736c,7
6e5f58,14
5c4d46,41
61524d,30
5c4f49,19
675a54,10
645955,11
473c38,18
4f4442,24
574d4b,9
9c9290,1
827876,1
695f5d,5
978980,7
75675e,3
6a5f59,8
615650,8
6e635d,5
695e58,9
534842,13
635852,8
4e433d,13
413630,13
574c46,19
473c36,13
71635a,12
64564d,19
584a41,26
6d5f56,14
5a4c43,27
5a4d44,9
51443b,10
62554c,10
55483f,9
6a5d54,7
6b5e55,5
63564d,7
a99c93,2
54473e,15
72655c,4
5f5249,9
80766c,1
8f857b,1
61574d,4
62584e,11
60564c,3
7b7167,2
93897f,1
6b6157,3
746a60,2
685f50,1
5f5647,3
5a5142,2
5c5344,2
584f40,1
675b4b,1
665a4a,1
554939,5
5b4f3f,7
584c3c,3
5c5040,2
635747,1
5d5141,5
574b3b,5
6b5f4f,3
675d53,3
645a50,3
685e54,3
4a4036,5
4d4339,7
4b4137,6
6e645a,1
4b3f31,9
4e4234,8
584c3e,9
524638,12
4d4133,8
a19587,1
74685a,4
4f4335,11
493d2f,5
3c3022,7
514537,12
635749,3
493c33,19
4b3e35,17
53453c,21
291c13,48
45382f,18
44372e,25
2f2219,37
3d3027,19
413527,3
463a2c,3
4c4032,6
473b2d,8
382c1e,6
34281a,4
6d6153,1
4a3e30,9
4b4135,2
53493d,2
4a4034,3
4a3e32,16
5b4f43,6
594d41,5
695b50,7
504237,25
53453a,19
55443a,27
615346,8
594838,29
5b4837,17
5a4534,33
523d2a,3
4c3523,11
866f5f,25
634d3f,60
624f41,58
584439,86
524036,47
3f2c1b,6
3d2a19,9
493826,4
5d4c3a,6
5b4a3a,29
493828,13
423121,8
4e3d2d,21
403021,7
3d2d1e,15
534334,21
4b3b2c,13
553f2a,7
4f3826,16
563f2d,21
624d3a,12
4e3b2a,18
534031,28
645244,33
4e3e31,37
43352c,37
1a0d04,25
130600,68
120705,146
0e0402,128
100806,310
090401,482
050402,718
000201,236
030406,681
100e0f,1611
191718,402
282627,67
252324,89
171516,535
110c09,667
16110e,524
3d3835,9
514c49,5
4a4542,12
494441,7
57524f,6
3e3936,12
322d2a,44
231e1b,246
1a1512,495
191411,496
17120f,515
130e0b,552
150b09,236
140a08,249
110705,185
1c1210,202
211715,139
231917,136
2b211f,82
281e1c,100
1d1311,182
221816,154
2d2321,63
332822,38
362b25,37
392e28,37
322721,37
1c110b,102
1e130d,108
1f140e,131
312620,41
211811,42
1e150e,49
271e17,39
271d14,69
241a11,67
2b1e15,39
2d2017,34
24180c,17
1a0c03,45
201209,133
241309,63
2f2317,22
2c1e13,69
3d2b21,105
443228,60
544037,109
24160b,53
36281d,26
392b20,20
302217,49
38241b,76
311d14,79
301e14,224
312519,12
32261a,8
392818,10
3a2919,19
392719,28
352315,37
322012,38
311f11,46
342417,40
37271a,20
2f1f12,34
2d1f12,13
30231a,31
392b1e,5
2a1c0f,15
1f1104,3
26180b,18
37291c,10
3f3124,13
342619,12
25170a,10
322417,11
382a1d,7
312316,15
291b0e,10
382419,141
301c11,147
331f14,157
352116,164
39251a,134
473328,81
402c21,65
3c2a1e,59
473529,37
38261a,76
3d2b1f,58
4d3b2f,30
301e12,133
362418,98
342216,102
48362a,40
402e22,45
49372b,33
372519,76
453327,31
4a392f,25
251307,34
322014,133
3b291d,44
2e1c10,148
4b392d,40
261408,53
241206,31
2b190d,105
2d1b0d,35
362416,28
3d2b1d,23
3b291b,23
3a281a,17
2a180a,23
2e1c0e,42
342721,66
2a1d17,98
22150d,203
25160f,294
2f2019,154
3a2921,86
39271d,146
352317,93
3b2518,68
392316,72
402a1c,49
432c1e,30
442d1d,21
402919,28
463227,65
432f24,64
453224,38
503d2e,34
5b4839,39
5e4b3a,16
574531,2
4f3d29,2
4e3c28,3
503e2a,2
4d3a29,8
473425,18
422f20,19
443123,38
483429,71
4a362b,73
5c4535,28
563f2f,36
533c2c,29
5a4335,29
685244,65
705a4c,49
6e584a,63
685547,45
614e40,58
574338,85
503e32,51
524034,40
514030,19
4f3e2e,25
534232,24
554434,23
6a5748,27
725f50,24
5d4a3b,37
5e4b3c,32
675143,47
6c5648,58
685143,49
695244,47
675042,54
604c41,86
5d4a3c,52
5a4739,45
604d3f,59
6e584b,119
664f41,29
715a4a,35
886e5f,44
745a49,31
785d4a,20
775c49,34
725c4e,48
756254,45
7d6a5c,31
725744,27
7d624f,23
826859,44
664f3f,26
594232,23
473123,31
463022,33
452f22,48
412e20,50
3e2b1d,64
392618,69
4c392a,21
443122,25
483526,19
493628,36
503e30,33
513f31,48
564438,35
69594c,22
625245,28
6e5d53,21
685a4f,7
5e5045,19
74665b,5
716358,6
6b5854,54
6e5c58,42
695755,43
968784,3
a29491,2
9c918f,1
a89e9c,1
746b64,6
746963,5
2e231d,50
493c36,34
594b48,34
6e605d,7
5f504d,38
695a57,24
584946,56
61524f,38
645250,43
6d5b59,52
5f4d4b,57
604e4c,63
52403e,53
503e3a,65
4c3a36,59
55433f,60
52403c,58
5e4c48,49
5c4a46,69
75615a,103
67534c,152
6a564f,176
735f58,126
746059,100
715d56,107
66524b,149
604c45,170
58443d,181
49352e,105
523e37,152
4c3831,125
634f48,161
614d46,158
8f7b74,16
